datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
2025-06-05T00:00:00,24.6,24.6,16.6,61.15,0,0,,0,0,19.4,3.6,160,1014.1,11,16.3,0,0.0,0,3,Clear
2025-06-05T01:00:00,24.3,24.3,16.8,63.05,0,0,,0,0,18.0,5.4,170,1013.6,11,16.3,0,0.0,0,3,Clear
2025-06-05T02:00:00,23.7,23.7,16.3,63.32,0,0,,0,0,18.0,5.4,158,1013.4,15,16.3,0,0.0,0,10,Clear
2025-06-05T03:00:00,22.8,22.8,16.6,68.12,0,0,,0,0,17.6,5.4,180,1013.2,17,16.2,0,0.0,0,10,Clear
2025-06-05T04:00:00,22.4,22.4,16.3,68.49,0,0,,0,0,17.6,5.4,158,1013.2,30,16.2,0,0.0,0,10,Partially cloudy
2025-06-05T05:00:00,22.3,22.3,16.3,68.93,0,0,,0,0,17.6,5.4,180,1013.7,46,16.2,1,0.0,0,10,Partially cloudy
2025-06-05T06:00:00,21.9,21.9,16.9,73.33,0,0,,0,0,17.6,3.6,180,1014.1,51,16.2,26,0.1,0,10,Partially cloudy
2025-06-05T07:00:00,21.8,21.8,16.7,72.39,0,0,,0,0,18.7,3.6,170,1014.6,48,16.2,34,0.1,0,10,Partially cloudy
2025-06-05T08:00:00,22.7,22.7,17.7,73.42,0,0,,0,0,20.2,5.4,181,1014.7,43,16.2,208,0.7,2,3,Partially cloudy
2025-06-05T09:00:00,23.6,23.6,18.1,71.31,0,0,,0,0,20.5,5.5,230,1014.8,59,16.2,440,1.6,4,10,Partially cloudy
2025-06-05T10:00:00,23.9,23.9,17.9,68.74,0,0,,0,0,22.0,5.4,190,1015.3,56,16.3,522,1.9,5,10,Partially cloudy
2025-06-05T11:00:00,24.2,24.2,18.4,70.05,0,0,,0,0,22.7,7.6,190,1015.2,54,16.2,449,1.6,4,10,Partially cloudy
2025-06-05T12:00:00,25.3,25.3,18.9,68.08,0,0,,0,0,24.5,9.4,180,1015.0,43,16.2,668,2.4,7,10,Partially cloudy
